CustomerID,Name,Gender,Age,City,Country,JoinDate,Email
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com
2,Customer 2,Male,26,Lahore,Pakistan,2024-12-12,customer2@mail.com
3,Customer 3,Male,55,Faisalabad,Pakistan,2024-01-17,customer3@mail.com
4,Customer 4,Male,23,Peshawar,Pakistan,2024-04-29,customer4@mail.com
5,Customer 5,Male,53,Peshawar,Pakistan,2024-11-28,customer5@mail.com
6,Customer 6,Female,32,Rawalpindi,Pakistan,2024-10-28,customer6@mail.com
7,Customer 7,Female,18,Islamabad,Pakistan,2024-12-23,customer7@mail.com
8,Customer 8,Female,39,Quetta,Pakistan,2024-03-20,customer8@mail.com
9,Customer 9,Male,39,Lahore,Pakistan,2024-02-17,customer9@mail.com
10,Customer 10,Female,24,Multan,Pakistan,2024-06-25,customer10@mail.com
11,Customer 11,Female,20,Rawalpindi,Pakistan,2024-10-01,customer11@mail.com
12,Customer 12,Male,42,Lahore,Pakistan,2024-10-09,customer12@mail.com
13,Customer 13,Female,58,Multan,Pakistan,2024-10-22,customer13@mail.com
14,Customer 14,Male,22,Karachi,Pakistan,2024-12-04,customer14@mail.com
15,Customer 15,Male,36,Lahore,Pakistan,2024-04-29,customer15@mail.com
16,Customer 16,Male,42,Quetta,Pakistan,2024-08-20,customer16@mail.com
17,Customer 17,Female,28,Multan,Pakistan,2024-06-30,customer17@mail.com
18,Customer 18,Male,60,Quetta,Pakistan,2024-12-25,customer18@mail.com
19,Customer 19,Male,56,Islamabad,Pakistan,2024-09-30,customer19@mail.com
20,Customer 20,Male,28,Rawalpindi,Pakistan,2024-07-13,customer20@mail.com
21,Customer 21,Female,58,Peshawar,Pakistan,2024-12-16,customer21@mail.com
22,Customer 22,Female,21,Peshawar,Pakistan,2024-01-17,customer22@mail.com
23,Customer 23,Female,43,Quetta,Pakistan,2024-02-03,customer23@mail.com
24,Customer 24,Male,54,Multan,Pakistan,2024-04-18,customer24@mail.com
25,Customer 25,Female,43,Rawalpindi,Pakistan,2024-03-14,customer25@mail.com
26,Customer 26,Female,26,Peshawar,Pakistan,2024-10-14,customer26@mail.com
27,Customer 27,Female,55,Faisalabad,Pakistan,2024-10-25,customer27@mail.com
28,Customer 28,Female,41,Peshawar,Pakistan,2024-03-11,customer28@mail.com
29,Customer 29,Female,23,Karachi,Pakistan,2024-02-26,customer29@mail.com
30,Customer 30,Male,58,Islamabad,Pakistan,2024-12-14,customer30@mail.com
31,Customer 31,Female,56,Lahore,Pakistan,2024-07-16,customer31@mail.com
32,Customer 32,Female,56,Rawalpindi,Pakistan,2024-09-27,customer32@mail.com
33,Customer 33,Female,53,Karachi,Pakistan,2024-12-14,customer33@mail.com
34,Customer 34,Male,52,Quetta,Pakistan,2024-11-24,customer34@mail.com
35,Customer 35,Female,25,Quetta,Pakistan,2024-08-10,customer35@mail.com
36,Customer 36,Male,47,Karachi,Pakistan,2024-05-14,customer36@mail.com
37,Customer 37,Male,50,Lahore,Pakistan,2024-11-16,customer37@mail.com
38,Customer 38,Female,58,Peshawar,Pakistan,2024-03-19,customer38@mail.com
39,Customer 39,Female,28,Karachi,Pakistan,2024-11-02,customer39@mail.com
40,Customer 40,Female,49,Karachi,Pakistan,2024-02-27,customer40@mail.com
41,Customer 41,Female,37,Peshawar,Pakistan,2024-01-30,customer41@mail.com
42,Customer 42,Male,54,Lahore,Pakistan,2024-02-13,customer42@mail.com
43,Customer 43,Female,22,Islamabad,Pakistan,2024-03-06,customer43@mail.com
44,Customer 44,Female,53,Islamabad,Pakistan,2024-05-15,customer44@mail.com
45,Customer 45,Female,31,Peshawar,Pakistan,2024-12-31,customer45@mail.com
46,Customer 46,Female,43,Multan,Pakistan,2024-08-12,customer46@mail.com
47,Customer 47,Female,25,Peshawar,Pakistan,2024-04-25,customer47@mail.com
48,Customer 48,Male,39,Karachi,Pakistan,2024-10-28,customer48@mail.com
49,Customer 49,Male,55,Peshawar,Pakistan,2024-01-04,customer49@mail.com
50,Customer 50,Male,58,Karachi,Pakistan,2024-04-27,customer50@mail.com
51,Customer 51,Male,20,Multan,Pakistan,2024-02-06,customer51@mail.com
52,Customer 52,Male,35,Rawalpindi,Pakistan,2024-04-19,customer52@mail.com
53,Customer 53,Male,54,Rawalpindi,Pakistan,2024-05-04,customer53@mail.com
54,Customer 54,Female,44,Peshawar,Pakistan,2024-02-18,customer54@mail.com
55,Customer 55,Male,60,Faisalabad,Pakistan,2024-06-30,customer55@mail.com
56,Customer 56,Female,44,Rawalpindi,Pakistan,2024-01-28,customer56@mail.com
57,Customer 57,Male,21,Faisalabad,Pakistan,2024-06-22,customer57@mail.com
58,Customer 58,Male,33,Peshawar,Pakistan,2024-04-07,customer58@mail.com
59,Customer 59,Female,26,Faisalabad,Pakistan,2024-04-03,customer59@mail.com
60,Customer 60,Female,47,Peshawar,Pakistan,2024-02-08,customer60@mail.com
61,Customer 61,Female,53,Lahore,Pakistan,2024-01-26,customer61@mail.com
62,Customer 62,Male,23,Peshawar,Pakistan,2024-03-26,customer62@mail.com
63,Customer 63,Female,49,Rawalpindi,Pakistan,2024-04-19,customer63@mail.com
64,Customer 64,Female,21,Islamabad,Pakistan,2024-07-13,customer64@mail.com
65,Customer 65,Male,42,Quetta,Pakistan,2024-08-20,customer65@mail.com
66,Customer 66,Female,45,Rawalpindi,Pakistan,2024-03-20,customer66@mail.com
67,Customer 67,Male,36,Peshawar,Pakistan,2024-01-30,customer67@mail.com
68,Customer 68,Male,38,Karachi,Pakistan,2024-01-26,customer68@mail.com
69,Customer 69,Female,50,Islamabad,Pakistan,2024-01-30,customer69@mail.com
70,Customer 70,Male,29,Lahore,Pakistan,2024-10-31,customer70@mail.com
71,Customer 71,Male,33,Faisalabad,Pakistan,2024-03-02,customer71@mail.com
72,Customer 72,Male,55,Karachi,Pakistan,2024-11-13,customer72@mail.com
73,Customer 73,Male,44,Multan,Pakistan,2024-05-13,customer73@mail.com
74,Customer 74,Male,60,Multan,Pakistan,2024-05-02,customer74@mail.com
75,Customer 75,Female,43,Islamabad,Pakistan,2024-12-09,customer75@mail.com
76,Customer 76,Female,47,Multan,Pakistan,2024-02-07,customer76@mail.com
77,Customer 77,Male,47,Lahore,Pakistan,2024-02-07,customer77@mail.com
78,Customer 78,Male,50,Quetta,Pakistan,2024-03-08,customer78@mail.com
79,Customer 79,Female,22,Peshawar,Pakistan,2024-07-08,customer79@mail.com
80,Customer 80,Female,28,Rawalpindi,Pakistan,2024-10-05,customer80@mail.com
81,Customer 81,Female,57,Karachi,Pakistan,2024-12-07,customer81@mail.com
82,Customer 82,Female,60,Lahore,Pakistan,2024-03-09,customer82@mail.com
83,Customer 83,Female,25,Lahore,Pakistan,2024-10-10,customer83@mail.com
84,Customer 84,Male,35,Quetta,Pakistan,2024-11-05,customer84@mail.com
85,Customer 85,Male,39,Peshawar,Pakistan,2024-12-17,customer85@mail.com
86,Customer 86,Female,50,Rawalpindi,Pakistan,2024-05-08,customer86@mail.com
87,Customer 87,Male,23,Faisalabad,Pakistan,2024-05-21,customer87@mail.com
88,Customer 88,Male,18,Multan,Pakistan,2024-03-07,customer88@mail.com
89,Customer 89,Female,28,Rawalpindi,Pakistan,2024-10-09,customer89@mail.com
90,Customer 90,Female,53,Karachi,Pakistan,2024-02-27,customer90@mail.com
91,Customer 91,Male,27,Karachi,Pakistan,2024-07-08,customer91@mail.com
92,Customer 92,Male,45,Islamabad,Pakistan,2024-01-22,customer92@mail.com
93,Customer 93,Female,41,Karachi,Pakistan,2024-07-02,customer93@mail.com
94,Customer 94,Male,33,Lahore,Pakistan,2024-06-30,customer94@mail.com
95,Customer 95,Female,57,Islamabad,Pakistan,2024-05-01,customer95@mail.com
96,Customer 96,Male,29,Faisalabad,Pakistan,2024-01-13,customer96@mail.com
97,Customer 97,Male,39,Faisalabad,Pakistan,2024-12-08,customer97@mail.com
98,Customer 98,Male,35,Islamabad,Pakistan,2024-12-25,customer98@mail.com
99,Customer 99,Male,42,Karachi,Pakistan,2024-08-28,customer99@mail.com
100,Customer 100,Male,30,Rawalpindi,Pakistan,2024-06-28,customer100@mail.com
101,Customer 101,Female,32,Peshawar,Pakistan,2024-01-13,customer101@mail.com
102,Customer 102,Male,43,Multan,Pakistan,2024-05-22,customer102@mail.com
103,Customer 103,Male,35,Multan,Pakistan,2024-11-24,customer103@mail.com
104,Customer 104,Female,52,Multan,Pakistan,2024-01-15,customer104@mail.com
105,Customer 105,Male,34,Islamabad,Pakistan,2024-10-24,customer105@mail.com
106,Customer 106,Female,20,Lahore,Pakistan,2024-11-01,customer106@mail.com
107,Customer 107,Female,40,Multan,Pakistan,2024-08-11,customer107@mail.com
108,Customer 108,Male,42,Peshawar,Pakistan,2024-05-10,customer108@mail.com
109,Customer 109,Male,45,Karachi,Pakistan,2024-09-23,customer109@mail.com
110,Customer 110,Male,41,Faisalabad,Pakistan,2024-02-05,customer110@mail.com
111,Customer 111,Female,57,Multan,Pakistan,2024-12-05,customer111@mail.com
112,Customer 112,Male,37,Quetta,Pakistan,2024-12-07,customer112@mail.com
113,Customer 113,Female,38,Faisalabad,Pakistan,2024-12-22,customer113@mail.com
114,Customer 114,Female,53,Islamabad,Pakistan,2024-04-08,customer114@mail.com
115,Customer 115,Female,60,Faisalabad,Pakistan,2024-12-12,customer115@mail.com
116,Customer 116,Male,57,Quetta,Pakistan,2024-07-26,customer116@mail.com
117,Customer 117,Male,37,Quetta,Pakistan,2024-04-17,customer117@mail.com
118,Customer 118,Female,55,Multan,Pakistan,2024-08-26,customer118@mail.com
