CustomerID,Name,Gender,Age,City,Country,JoinDate,Email,OrderID,ProductID,OrderDate,Quantity,PaymentMethod,OrderStatus,SaleID,Revenue,Discount,Profit,Tax,ShippingCost,ProductName,Category,Brand,CostPrice,SellingPrice,Stock,ReturnID,ReturnOrderID,ReturnDate,Reason,RefundAmount,ReturnStatus
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com,24,423,2025-11-06,1,Bank,Completed,24,284,28.4,76.82,12.78,20,Product 423,Sports,Alpha,146,284,412,5.0,24.0,2025-11-06,Late Delivery,213.61,Pending
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com,245,61,2025-08-27,1,Cash,Completed,245,181,18.1,109.75,8.15,9,Product 61,Books,Nova,36,181,303,226.0,905.0,2025-02-13,Late Delivery,645.75,Approved
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com,280,361,2025-07-03,5,Cash,Completed,280,2710,135.5,252.78,128.72,3,Product 361,Home,Nova,438,542,100,58.0,280.0,2025-07-03,Changed Mind,2191.19,Pending
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com,682,50,2025-12-23,1,Wallet,Completed,682,255,25.5,29.02,11.48,16,Product 50,Books,Max,173,255,15,94.0,427.0,2025-06-26,Wrong Item,602.83,Pending
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com,770,27,2025-04-19,3,Bank,Completed,770,750,37.5,341.88,35.62,11,Product 27,Home,Max,108,250,366,,,,,,
1,Customer 1,Male,19,Quetta,Pakistan,2024-05-05,customer1@mail.com,929,26,2025-03-12,3,Bank,Completed,929,1209,60.45,379.12,57.43,19,Product 26,Home,Eco,231,403,119,104.0,463.0,2025-11-13,Wrong Item,1420.36,Approved
2,Customer 2,Male,26,Lahore,Pakistan,2024-12-12,customer2@mail.com,233,319,2025-01-07,3,Wallet,Completed,233,1551,77.55,-109.22,73.67,18,Product 319,Clothing,Prime,497,517,57,,,,,,
3,Customer 3,Male,55,Faisalabad,Pakistan,2024-01-17,customer3@mail.com,102,412,2025-03-16,1,Wallet,Completed,102,308,30.8,-40.66,13.86,16,Product 412,Sports,Max,288,308,224,23.0,102.0,2025-03-16,Late Delivery,175.06,Approved
3,Customer 3,Male,55,Faisalabad,Pakistan,2024-01-17,customer3@mail.com,234,312,2025-05-02,4,Card,Completed,234,744,74.4,190.12,33.48,18,Product 312,Books,Prime,107,186,388,189.0,792.0,2025-02-05,Changed Mind,355.1,Approved
3,Customer 3,Male,55,Faisalabad,Pakistan,2024-01-17,customer3@mail.com,482,169,2025-12-02,1,Wallet,Completed,482,505,25.25,32.76,23.99,7,Product 169,Sports,Prime,416,505,230,111.0,482.0,2025-12-02,Late Delivery,251.55,Pending
3,Customer 3,Male,55,Faisalabad,Pakistan,2024-01-17,customer3@mail.com,570,462,2025-12-11,1,Card,Completed,570,527,26.35,115.62,25.03,20,Product 462,Home,Nova,340,527,86,,,,,,
3,Customer 3,Male,55,Faisalabad,Pakistan,2024-01-17,customer3@mail.com,671,7,2025-07-11,5,Wallet,Completed,671,1560,78.0,691.9,74.1,16,Product 7,Books,Max,140,312,126,229.0,919.0,2025-06-04,Damaged,710.05,Approved
4,Customer 4,Male,23,Peshawar,Pakistan,2024-04-29,customer4@mail.com,602,186,2025-02-07,1,Bank,Completed,602,440,0.0,53.0,22.0,20,Product 186,Clothing,Max,345,440,32,29.0,137.0,2025-09-24,Wrong Item,1069.14,Pending
4,Customer 4,Male,23,Peshawar,Pakistan,2024-04-29,customer4@mail.com,602,186,2025-02-07,1,Bank,Completed,602,440,0.0,53.0,22.0,20,Product 186,Clothing,Max,345,440,32,81.0,401.0,2025-08-15,Wrong Item,798.41,Approved
4,Customer 4,Male,23,Peshawar,Pakistan,2024-04-29,customer4@mail.com,602,186,2025-02-07,1,Bank,Completed,602,440,0.0,53.0,22.0,20,Product 186,Clothing,Max,345,440,32,138.0,602.0,2025-02-07,Wrong Item,283.93,Pending
5,Customer 5,Male,53,Peshawar,Pakistan,2024-11-28,customer5@mail.com,621,395,2025-05-25,3,Bank,Completed,621,1158,57.9,13.1,55.0,15,Product 395,Books,Eco,339,386,90,,,,,,
5,Customer 5,Male,53,Peshawar,Pakistan,2024-11-28,customer5@mail.com,755,52,2025-09-09,4,Card,Completed,755,1524,0.0,44.8,76.2,19,Product 52,Sports,Prime,346,381,91,,,,,,
5,Customer 5,Male,53,Peshawar,Pakistan,2024-11-28,customer5@mail.com,795,491,2025-10-05,1,Bank,Completed,795,547,54.7,8.68,24.62,5,Product 491,Home,Nova,454,547,62,191.0,795.0,2025-10-05,Changed Mind,364.41,Approved
6,Customer 6,Female,32,Rawalpindi,Pakistan,2024-10-28,customer6@mail.com,283,37,2025-03-15,1,Wallet,Completed,283,506,50.6,-39.37,22.77,16,Product 37,Electronics,Eco,456,506,413,,,,,,
6,Customer 6,Female,32,Rawalpindi,Pakistan,2024-10-28,customer6@mail.com,305,345,2025-02-04,1,Cash,Completed,305,615,30.75,124.04,29.21,6,Product 345,Sports,Eco,425,615,25,,,,,,
6,Customer 6,Female,32,Rawalpindi,Pakistan,2024-10-28,customer6@mail.com,631,88,2025-07-30,3,Wallet,Completed,631,1482,0.0,42.9,74.1,6,Product 88,Books,Nova,453,494,221,48.0,231.0,2025-10-17,Changed Mind,1268.63,Pending
6,Customer 6,Female,32,Rawalpindi,Pakistan,2024-10-28,customer6@mail.com,631,88,2025-07-30,3,Wallet,Completed,631,1482,0.0,42.9,74.1,6,Product 88,Books,Nova,453,494,221,147.0,629.0,2025-12-12,Changed Mind,296.15,Pending
6,Customer 6,Female,32,Rawalpindi,Pakistan,2024-10-28,customer6@mail.com,631,88,2025-07-30,3,Wallet,Completed,631,1482,0.0,42.9,74.1,6,Product 88,Books,Nova,453,494,221,148.0,631.0,2025-07-30,Damaged,1051.04,Pending
